Codigo_prov;SEXO;CUENTA;Grupo_etario
90;2;2;45-49
90;2;2;60-64
90;2;9;80 y más
90;2;8;75-79
90;1;4;65-69
94;1;1;50-54
94;1;2;70-74
94;2;1;60-64
94;1;1;65-69
94;1;1;75-79
94;1;1;80 y más
